0.000105703  -0.000737732 -0.000998877  0.00246504 -0.00433685 -0.0141319
0.000105703  -0.000737732 -0.000998877  0.00246504 -0.00433685 -0.0141319
0.000105703  -0.000737732 -0.000998877  0.00246504 -0.00433685 -0.0141319
0.000105703  -0.000737732 -0.000998877  0.00246504 -0.00433685 -0.0141319
0.000105703  -0.000737732 -0.000998877  0.00246504 -0.00433685 -0.0141319
0.000101367  -0.000757368 -0.00108096  0.000708981 -0.00408881 -0.0158251
0.000101367  -0.000757368 -0.00108096  0.000708981 -0.00408881 -0.0158251
0.000101367  -0.000757368 -0.00108096  0.000708981 -0.00408881 -0.0158251
0.000109056  -0.000778307 -0.0011586  0.000739942 -0.00406457 -0.0163794
0.000109056  -0.000778307 -0.0011586  0.000739942 -0.00406457 -0.0163794
0.000109056  -0.000778307 -0.0011586  0.000739942 -0.00406457 -0.0163794
0.000118001  -0.000799043 -0.00123869  0.000850603 -0.00403992 -0.0169065
0.000118001  -0.000799043 -0.00123869  0.000850603 -0.00403992 -0.0169065
0.000118001  -0.000799043 -0.00123869  0.000850603 -0.00403992 -0.0169065
0.000118001  -0.000799043 -0.00123869  0.000850603 -0.00403992 -0.0169065
0.000118001  -0.000799043 -0.00123869  0.000850603 -0.00403992 -0.0169065
0.000126984  -0.000819497 -0.00132166  0.000930911 -0.00401334 -0.0174522
0.000126984  -0.000819497 -0.00132166  0.000930911 -0.00401334 -0.0174522
0.000126984  -0.000819497 -0.00132166  0.000930911 -0.00401334 -0.0174522
0.000126984  -0.000819497 -0.00132166  0.000930911 -0.00401334 -0.0174522
0.000126984  -0.000819497 -0.00132166  0.000930911 -0.00401334 -0.0174522
0.000131848  -0.000841902 -0.00141474  0.000525866 -0.00423974 -0.0188222
0.000131848  -0.000841902 -0.00141474  0.000525866 -0.00423974 -0.0188222
0.000139029  -0.000863407 -0.0015075  0.000546345 -0.00429868 -0.0195618
0.000139029  -0.000863407 -0.0015075  0.000546345 -0.00429868 -0.0195618
0.000139029  -0.000863407 -0.0015075  0.000546345 -0.00429868 -0.0195618
0.000139029  -0.000863407 -0.0015075  0.000546345 -0.00429868 -0.0195618
0.000139029  -0.000863407 -0.0015075  0.000546345 -0.00429868 -0.0195618
0.000246858  -0.000789438 -0.00102066  0.00178771 -0.00424943 -0.0154635
0.000246858  -0.000789438 -0.00102066  0.00178771 -0.00424943 -0.0154635
0.000246858  -0.000789438 -0.00102066  0.00178771 -0.00424943 -0.0154635
0.000246858  -0.000789438 -0.00102066  0.00178771 -0.00424943 -0.0154635
0.000246858  -0.000789438 -0.00102066  0.00178771 -0.00424943 -0.0154635
0.000250222  -0.000808037 -0.0010944  0.00127213 -0.00402248 -0.0156204
0.000250222  -0.000808037 -0.0010944  0.00127213 -0.00402248 -0.0156204
0.000250222  -0.000808037 -0.0010944  0.00127213 -0.00402248 -0.0156204
0.000250222  -0.000808037 -0.0010944  0.00127213 -0.00402248 -0.0156204
0.000250222  -0.000808037 -0.0010944  0.00127213 -0.00402248 -0.0156204
0.000257863  -0.000827933 -0.00117355  0.0013288 -0.00399077 -0.0161509
0.000257863  -0.000827933 -0.00117355  0.0013288 -0.00399077 -0.0161509
0.000266008  -0.000847706 -0.00125509  0.00140702 -0.00395984 -0.016666
0.000266008  -0.000847706 -0.00125509  0.00140702 -0.00395984 -0.016666
0.000266008  -0.000847706 -0.00125509  0.00140702 -0.00395984 -0.016666
0.000266008  -0.000847706 -0.00125509  0.00140702 -0.00395984 -0.016666
0.000266008  -0.000847706 -0.00125509  0.00140702 -0.00395984 -0.016666
